id,kommune,letter,party,name,answers
1,albertslund,A,Socialdemokratiet,Steen Christiansen,114442511144444
1,albertslund,A,Socialdemokratiet,Flemming Jørgensen,321213411232244
1,albertslund,A,Socialdemokratiet,Tina Christiansen,000000000000000
1,albertslund,A,Socialdemokratiet,Paw Østergaard Jensen,134254233211322
1,albertslund,A,Socialdemokratiet,Nils Jensen,121353311343252
1,albertslund,A,Socialdemokratiet,Dogan Polat,141255331242344
1,albertslund,A,Socialdemokratiet,Susanne Storm Lind,123124314224454
1,albertslund,A,Socialdemokratiet,Marianne Burchall,221253343443324
1,albertslund,A,Socialdemokratiet,Jane Nannberg,000000000000000
1,albertslund,A,Socialdemokratiet,Ole Borgstrøm,212315333244343
1,albertslund,A,Socialdemokratiet,Carsten Larsen,211244432224445
1,albertslund,A,Socialdemokratiet,Jørn Jensby,223244314223344
1,albertslund,A,Socialdemokratiet,Henrik Seidenfaden,000000000000000
1,albertslund,A,Socialdemokratiet,Qasir Mirza,213155511115555
1,albertslund,A,Socialdemokratiet,Lasse Wilson Crüger,351311533345354
1,albertslund,A,Socialdemokratiet,Lars Alexander Clark,132355433345445
1,albertslund,B,Radikale Venstre,Dennis Schmock,142455552225254
1,albertslund,B,Radikale Venstre,Morten Bjørn,224545343424344
1,albertslund,B,Radikale Venstre,Steffen Wegner Høyer,144455551414255
1,albertslund,B,Radikale Venstre,Hediye Temiz,452555451145455
1,albertslund,B,Radikale Venstre,Jacob Juul Pedersen,243445233425344
1,albertslund,B,Radikale Venstre,Morten Loof Andersen,312550211140532
1,albertslund,B,Radikale Venstre,Lene Dræbye,000000000000324
1,albertslund,C,Det Konservative Folkeparti,Lars Gravgaard Hansen,415544333453553
1,albertslund,C,Det Konservative Folkeparti,Nils Jul Gjerlev,335542412453543
1,albertslund,C,Det Konservative Folkeparti,Tina Graugaard,415554423353553
1,albertslund,C,Det Konservative Folkeparti,Henrik Hertz,315525225352545
